,loss,accuracy,val_loss,val_accuracy
0,0.3477398157119751,0.8444201350212097,0.4644496440887451,0.8371278643608093
1,0.29368945956230164,0.8766958713531494,0.5108892917633057,0.8388791680335999
2,0.25147899985313416,0.8982494473457336,0.5487205982208252,0.8388791680335999
3,0.21681304275989532,0.9180524945259094,0.4864667057991028,0.8633975386619568
4,0.2126360535621643,0.914770245552063,0.5369464755058289,0.8598949313163757
5,0.17694878578186035,0.9328227639198303,0.5634313225746155,0.8633975386619568
6,0.1400565803050995,0.9498906135559082,0.6257295608520508,0.8546409606933594
7,0.15805348753929138,0.9423413276672363,0.5015621781349182,0.8380035161972046
8,0.09500429034233093,0.9678336977958679,0.5748314261436462,0.8914185762405396
9,0.12097811698913574,0.9609408974647522,0.5521091222763062,0.8563923239707947
